customerId,products
0,20
1,2|2|23|68|68|111|29|86|107|152
2,111|107|29|11|11|11|33|23
3,164|227
5,2|2
6,144|144|55|266
7,135|206|259
8,79|8|8|48
9,102|2|2|297
10,84|77|290|260
11,25|127|127
12,18|183|287|172|289
13,79|8|8|38
14,2|2|20|20|20
15,251|143
16,2
17,49|49|49|279|279|279
18,70|135
19,48|8
20,20|20|20|281|281|281|287|287|287
21,259|198
22,29|11|44|195
23,36|36|61|201
24,236|236|2
25,1|20|18|18|18|259|259|2|2|2
28,11|11|11|29|29|29
29,2|2|124|251|192|47
30,297|256
32,159
33,23|11|41|36|23|36|38|264|11|79
34,115|41|81|205|20
35,56|62
36,145|20|20|20
37,73|40|25
38,175|102|102
39,241|241|43
40,118|118|118|33|156|156|25|2|2|2
41,41|2|2
42,229|229|229|70
43,48|8|8
44,11|11|11|2|2
45,263
46,172|205|250
48,47
49,2
51,44|33
52,124|124
53,47
54,18|18|102|102|20|12
56,2
57,172|135
58,231|2|2|2
59,100|112|21
60,2|2|184|15
61,17
65,208|9|143|143
66,2
67,192
68,33
70,20|20
71,2|2
72,134|11|23|134|170|23|23|11|170|11
73,100|112
76,146
78,273
79,253
80,111|33
81,135|135
87,2|111|162|20|186|111|162|111|2|20
89,199|199|2|172
90,2|2|143
91,76|20
93,51|224|41|41
94,11|11|15
95,44|287
96,2|2|20|20|20|44|44
97,177|177|177
98,20|2|2
99,259|259|97
100,62|0|0|0|6|67
